,SPG,NNN,SLG,PTY,WELL,BXP,EPR,WPC,STOR,EXEL,GEO,VTR,HST,HTA
13/03/2015,183.9799957,39.79999924,127.4199982,16.05999947,75.01999664,135.9799957,58.81999969,67.76000214,21.57999992,2.640000105,28.14666748,80.0616684,20.79999924,27.09000015
14/03/2015,,,,,,,,,,,,,,
15/03/2015,,,,,,,,,,,,,,
16/03/2015,187.0700073,40.08000183,128.3899994,15.56999969,75.19999695,137.25,59.31000137,68.33999634,22.01000023,2.640000105,28.31999969,80.7354126,21.03000069,27.29000092
17/03/2015,186.1300049,39.95000076,129.1399994,15.47000027,74.66000366,137.5099945,59.40999985,68.80000305,21.82999992,2.700000048,28.29333305,80.26721191,21.05999947,27.40999985
18/03/2015,191.5,41.09999847,130.6000061,15.36999989,76.97000122,141.1300049,60.52999878,69.88999939,22.37000084,2.75,28.73999977,81.64896393,21.37999916,28.12999916
19/03/2015,192.1000061,41.18000031,130.4199982,15.31999969,76.77999878,141.1499939,60.31000137,69.33999634,22.67000008,2.839999914,28.84666634,82.06006622,21.22999954,27.94000053
20/03/2015,197.3399963,42.29000092,134,15.40999985,79.12999725,144.7299957,61.77999878,70.81999969,23.54999924,2.819999933,30.12666702,84.19550323,21.71999931,29.02000046
21/03/2015,,,,,,,,,,,,,,
22/03/2015,,,,,,,,,,,,,,
23/03/2015,197.5399933,42.18999863,133.4199982,15.52000046,79.40000153,144.7400055,61.59000015,70.81999969,23.54000092,2.880000114,29.7266674,84.57234192,21.52000046,28.87999916
24/03/2015,196.8300018,41.59999847,131.6300049,15.52999973,79.08999634,143.9799957,60.72000122,70.15000153,23.15999985,2.74000001,29.54000092,83.79582214,21.14999962,28.45000076
25/03/2015,194.1499939,41.11999893,129.2799988,15.47999954,77.93000031,141.1600037,59.75999832,69.19000244,22.79999924,2.569999933,28.99333382,82.21994019,20.51000023,27.56999969
26/03/2015,192.6499939,40.65000153,128.2799988,15.48999977,77.40000153,140.4100037,59.45999908,68.48999786,22.92000008,2.49000001,29.05333328,81.8316803,20.28000069,27.39999962
27/03/2015,194.2599945,40.41999817,127.7399979,15.64000034,77.77999878,139.8099976,59.40999985,67.48000336,23.18000031,2.539999962,29.18666649,82.58535767,20.04000092,27.57999992
28/03/2015,,,,,,,,,,,,,,
29/03/2015,,,,,,,,,,,,,,
30/03/2015,196.9700012,41,129.5500031,15.69999981,78.70999908,142.25,60.31999969,67.90000153,23.42000008,2.700000048,29.50666618,84.10414886,20.35000038,27.84000015
31/03/2015,195.6399994,40.97000122,128.3800049,15.77000046,77.36000061,140.4799957,60.02999878,68,23.35000038,2.569999933,29.15999985,83.38471985,20.18000031,27.86000061
1/04/2015,197.9900055,41.02000046,127.9499969,15.86999989,77.19999695,139.7100067,60.11000061,68.02999878,23.34000015,2.599999905,29.24666595,83.39614105,20.26000023,28.07999992
2/04/2015,199.3600006,41.59999847,129.8800049,15.97999954,77.83000183,140.9299927,60.72000122,68.72000122,23.5,2.660000086,29.63999939,83.62452698,20.48999977,28.18000031
3/04/2015,,,,,,,,,,,,,,
4/04/2015,,,,,,,,,,,,,,
5/04/2015,,,,,,,,,,,,,,
6/04/2015,200.8000031,41.84000015,131.6399994,16.05999947,79.44000244,142.1699982,61.13000107,69.33000183,23.77000046,2.74000001,29.73333359,87.81546021,20.34000015,28.37000084
7/04/2015,198.2899933,40.93000031,129.4799957,16.07999992,78.12000275,139.5099945,59.93999863,68.23999786,23.54999924,2.809999943,29.58666611,85.61151123,20,27.69000053
8/04/2015,197.4600067,41.02000046,130.0099945,16.06999969,78.23999786,139.7100067,59.75,68.66999817,23.67000008,2.849999905,29.34666634,85.75996399,20.19000053,27.77000046
9/04/2015,193.1300049,40.34999847,127.0999985,15.55000019,76.69000244,137.3500061,57.84999847,67.20999908,23.22999954,3.00999999,28.55999947,84.64086151,19.92000008,27.10000038
10/04/2015,191.2700043,40.68000031,127.8499985,15.68000031,76.19000244,137.5800018,58.5,66.91999817,23.36000061,3.039999962,28.71333313,84.56092072,19.93000031,27.07999992
11/04/2015,,,,,,,,,,,,,,
12/04/2015,,,,,,,,,,,,,,
13/04/2015,190.3300018,40.61000061,127.5400009,15.61999989,75.48999786,137.0700073,58.81999969,66.18000031,23.37999916,3.140000105,28.97333336,83.73872375,20.22999954,26.94000053
14/04/2015,191.4199982,40.95999908,128.3200073,15.59000015,76.18000031,137.6499939,59.47000122,66.61000061,23.43000031,3.220000029,28.68000031,84.33253479,19.95999908,26.92000008
15/04/2015,190.0399933,40.65000153,126.8700027,15.56999969,75.43000031,136.4900055,58.81000137,65.34999847,23.36000061,3.109999895,28.55333328,83.55601501,19.93000031,26.57999992
16/04/2015,190.1000061,41.08000183,127.7399979,15.68000031,75.62999725,137.6799927,59.34999847,65.72000122,23.29000092,3.099999905,28.2733326,83.69304657,20.23999977,26.82999992
17/04/2015,188.2599945,40.81000137,126.6800003,15.60999966,75.26000214,136.6000061,59.08000183,65.41999817,22.79000092,3.109999895,28.04000092,83.2591095,20.60000038,26.70000076
18/04/2015,,,,,,,,,,,,,,
19/04/2015,,,,,,,,,,,,,,
20/04/2015,188.6000061,40.84999847,127.0299988,15.67000008,75.25,136.3899994,59.16999817,65.38999939,22.70999908,3.150000095,28.05333328,83.53317261,20.60000038,26.92000008
21/04/2015,188.8300018,40.99000168,128.1199951,15.69999981,75.23000336,136.7700043,59.31999969,65.37999725,22.79000092,3.069999933,28.07999992,83.12207031,20.54999924,27.14999962
22/04/2015,189.1100006,40.99000168,128.5099945,15.69999981,75.44000244,136.5099945,59.11000061,65.58000183,22.39999962,3.119999886,28.05333328,83.03071594,20.62000084,27.03000069
23/04/2015,189.0599976,41.16999817,127.3499985,15.68999958,75.81999969,137.0299988,59.41999817,65.44999695,21.87999916,3.099999905,28.21999931,83.43039703,20.68000031,27
24/04/2015,188.7100067,41.04000092,128.8200073,15.73999977,75.86000061,137.8699951,59.59999847,66.27999878,21.95999908,3.079999924,28.06666756,83.15633392,20.69000053,27.12000084
25/04/2015,,,,,,,,,,,,,,
26/04/2015,,,,,,,,,,,,,,
27/04/2015,189.8800049,40.75999832,129.1499939,15.72000027,75.72000122,137.8000031,59.31000137,66.08999634,21.79000092,2.829999924,27.80666733,82.58535767,20.62999916,26.90999985
28/04/2015,188.25,39.95000076,127.75,15.69999981,75.62000275,138.3500061,59.49000168,65.73999786,21.69000053,2.75999999,28.02666664,82.92794037,20.39999962,26.86000061
29/04/2015,183.1000061,39.02000046,124.0599976,15.68999958,73.95999908,134.8800049,58.79999924,64.76999664,21.32999992,2.74000001,27.45999908,80.92954254,20.27000046,26.45999908
30/04/2015,181.4900055,38.40000153,122.3600006,15.86999989,72.01999664,132.3099976,57.66999817,63.47999954,21,2.569999933,26,78.67991638,20.13999939,25.88999939
1/05/2015,184.1699982,38.59000015,122.7200012,15.94999981,72.26000214,132.9499969,57.97999954,63.90000153,21,2.829999924,25.81333351,79.18236542,20.31999969,26.06999969
2/05/2015,,,,,,,,,,,,,,
3/05/2015,,,,,,,,,,,,,,
4/05/2015,183.3699951,38.88000107,123.6500015,16.04000092,72.12999725,132.9499969,58.52000046,64.26999664,21.10000038,2.940000057,25.33333397,78.5428772,20.31999969,26.11000061
5/05/2015,180.4600067,37.54000092,120.1900024,15.96000004,71.23000336,129.6499939,57.84999847,63.08000183,20.79000092,2.859999895,24.49333382,77.35525513,19.82999992,25.35000038
6/05/2015,181.6100006,36.91999817,119.3300018,15.84000015,70.79000092,128.6499939,57.59999847,63.09999847,20.71999931,2.950000048,24.21999931,76.62441254,19.45000076,25.01000023
7/05/2015,183.1499939,37.65999985,121.1600037,15.72000027,71.47000122,131.5,58.5,63.86000061,21.02000046,3.109999895,24.50666618,78.17745972,19.79999924,25.12000084
8/05/2015,187.6499939,38.40000153,123.0100021,15.57999992,72.16000366,133.3300018,58.93999863,64.37999725,21.56999969,3.430000067,24.54000092,78.93113708,20.31999969,25.45999908
9/05/2015,,,,,,,,,,,,,,
10/05/2015,,,,,,,,,,,,,,
11/05/2015,184.1699982,37.61999893,121.1299973,15.43999958,70.73999786,130.8399963,58.13999939,63.50999832,21.46999931,3.400000095,24.52000046,77.5379715,20.13999939,25.03000069
12/05/2015,184.4299927,38.20000076,121.5299988,15.35999966,70.93000031,131.3699951,58.18999863,63.54000092,21.48999977,3.680000067,24.50666618,77.73210144,20.11000061,25.04000092
13/05/2015,181.3399963,37.47999954,120.2699966,15.26000023,70.08999634,130.6499939,57.56999969,63.15999985,21.43000031,3.650000095,24.35333252,76.61299896,19.98999977,24.61000061
14/05/2015,184.7599945,38.34999847,122.7900009,15.31000042,71.15000153,133.3600006,58.79000092,64.26999664,21.75,3.470000029,24.68000031,77.8805542,20.39999962,25.03000069
15/05/2015,185.6100006,38.88000107,123.7200012,15.28999996,72.41000366,134.6999969,59.40999985,64.73000336,22.02000046,3.369999886,24.78666687,79.25088501,20.60000038,25.12999916
16/05/2015,,,,,,,,,,,,,,
17/05/2015,,,,,,,,,,,,,,
18/05/2015,184.7799988,38.86000061,121.8700027,15.19999981,71.83000183,134.3099976,59.25,64.08999634,22.14999962,3.339999914,25,79.01107788,20.54999924,25.25
19/05/2015,184.0299988,38.72000122,120.3700027,15.10000038,71.56999969,133.3899994,59.47999954,63.45000076,21.82999992,3.210000038,25.26000023,79.03391266,20.61000061,25.20000076
20/05/2015,183.5899963,38.56999969,120.6100006,15.10999966,71.56999969,133.3099976,59.5,63.47999954,21.62000084,3.180000067,25.41333389,78.66849518,20.32999992,25.04999924
21/05/2015,183.5399933,38.15999985,119.2900009,15.14000034,71.23999786,132.2400055,58.90999985,63.31000137,21.48999977,3.140000105,25.44000053,78.01758575,20.21999931,24.73999977
22/05/2015,183.6199951,38.08000183,119.2099991,15.09000015,70.86000061,132.8699951,58.79999924,63.77000046,21.61000061,3.150000095,25.29999924,77.97190857,20.09000015,24.95000076
23/05/2015,,,,,,,,,,,,,,
24/05/2015,,,,,,,,,,,,,,
25/05/2015,,,,,,,,,,,,,,
26/05/2015,182.0800018,37.83000183,119.1800003,15.07999992,70.58000183,131.2299957,58.15000153,63.04000092,21.47999954,3.150000095,25.13999939,77.33242035,20.02000046,24.93000031
27/05/2015,184.1399994,37.88999939,120.4800034,15.05000019,71.12000275,131.8600006,58.54999924,63.84999847,21.53000069,3.289999962,25.43333244,77.4580307,20.18000031,24.96999931
28/05/2015,183.8200073,37.91999817,119.9400024,14.93999958,70.83000183,131.5500031,58.5,63.86000061,21.26000023,3.130000114,25.42000008,76.65867615,20.09000015,24.87999916
29/05/2015,181.3999939,37.50999832,118.6600037,14.96000004,70.26000214,130.0299988,57.66999817,63.68999863,20.86000061,3.150000095,25.28666687,75.96208954,19.92000008,24.79000092
30/05/2015,,,,,,,,,,,,,,
31/05/2015,,,,,,,,,,,,,,
1/06/2015,183.3899994,37.75,121,15.14000034,71.13999939,131.6499939,58.18000031,63.86000061,21.04000092,3.440000057,25.65999985,76.67008972,20.27000046,25.12999916
2/06/2015,182.1499939,37.45999908,119.7600021,15.15999985,70.52999878,129.5700073,58,63.5,20.97999954,3.339999914,25.36000061,76.16764069,20.22999954,24.97999954
3/06/2015,178.9299927,36.79999924,118.8199997,15.23999977,69.29000092,127.9000015,57.24000168,62.63000107,20.37000084,3.24000001,25.0933342,73.99794769,20.10000038,24.62000084
4/06/2015,179.0299988,36.72999954,117.6299973,15.18000031,69.62000275,127.4599991,56.90999985,62.59999847,20.70000076,3.279999971,24.9066658,74.13497925,19.87000084,24.73999977
5/06/2015,176.6100006,36.41999817,116.2699966,14.97000027,67.80999756,126.1800003,56.31999969,61.61999893,20.79999924,3.349999905,24.53333282,72.58193207,19.56999969,24.32999992
6/06/2015,,,,,,,,,,,,,,
7/06/2015,,,,,,,,,,,,,,
8/06/2015,175.6100006,36.56000137,115.4100037,14.85000038,68.37999725,125.9899979,56.43999863,61.27000046,20.62000084,3.480000019,24.20666695,73.02729034,19.39999962,24.43000031
9/06/2015,174.5800018,36.04999924,114.5699997,14.5,67.80999756,124.8899994,55.93999863,61.29000092,20.35000038,3.390000105,23.88666725,72.20509338,19.43000031,24.20999908
10/06/2015,176.3500061,36.06999969,115.0400009,14.28999996,68.30999756,126.2200012,56.25,61.54999924,20.46999931,3.450000048,23.94000053,72.75322723,19.55999947,24.5
11/06/2015,177.25,36.49000168,115.9000015,14.27000046,68.43000031,126.7699966,56.70999908,61.84999847,20.75,3.519999981,23.84666634,73.1643219,19.70999908,24.62999916
12/06/2015,176.8699951,36.38999939,114.9400024,14.31999969,67.95999908,126.0999985,56.33000183,61.84000015,20.86000061,3.559999943,23.71333313,73.05013275,19.92000008,24.38999939
13/06/2015,,,,,,,,,,,,,,
14/06/2015,,,,,,,,,,,,,,
15/06/2015,175.8000031,36.20999908,114.1299973,14.39000034,67.51999664,125.0999985,55.93000031,61.45000076,20.82999992,3.450000048,23.66666603,72.58193207,19.70999908,24.37000084
16/06/2015,177.2599945,36.22999954,114.9899979,14.35999966,68,126.0199966,56,61.5,20.85000038,3.470000029,23.48666573,73.28993988,19.95000076,24.60000038
17/06/2015,179.5700073,36.45999908,115.6299973,14.31999969,68.23000336,126.9100037,56.65000153,62.11000061,21.01000023,3.529999971,23.80666733,73.54116821,20.11000061,24.79000092
